date,open,high,close,low,volume,amount
2014-11-03,2425.225,2436.785,2430.032,2418.167,29882124800,227196583936
2014-10-31,2393.178,2423.596,2420.178,2384.483,32576352000,249915441152
2014-10-30,2371.891,2397.256,2391.076,2365.919,29464595200,226611183616
2014-10-29,2343.72,2381.643,2373.03,2339.712,26558868800,225067073536
2014-10-28,2294.012,2338.278,2337.871,2294.012,17859035200,158147952640
2014-10-27,2293.573,2293.644,2290.437,2279.836,13026156800,113379983360
2014-10-24,2303.08,2314.875,2302.28,2296.657,13222528000,114330697728
2014-10-23,2322.316,2329.927,2302.418,2297.33,16263630400,140596510720
2014-10-22,2339.223,2352.124,2326.553,2324.59,15269843200,138524540928
2014-10-21,2355.033,2361.653,2339.657,2337.551,16882828800,146786320384
2014-10-20,2346.052,2357.509,2356.728,2340.459,16002230400,141820264448
2014-10-17,2352.784,2360.597,2341.184,2312.826,21230096000,179433160704
2014-10-16,2361.13,2389.675,2356.499,2353.406,24820116800,203805884416
2014-10-15,2358.233,2374.808,2373.67,2344.373,20280491200,171766743040
2014-10-14,2362.802,2380.515,2359.475,2349.194,19683142400,170160078848
2014-10-13,2366.426,2366.862,2366.009,2341.124,20089931200,175425077248
2014-10-10,2380.755,2386.277,2374.54,2365.075,22467112000,192248233984
2014-10-09,2383.859,2391.348,2389.371,2367.111,23592001600,200271757312
2014-10-08,2368.576,2382.794,2382.794,2354.29,20439732800,180337573888
2014-09-30,2361.318,2365.491,2363.87,2354.268,19391868800,166933430272
2014-09-29,2353.708,2363.059,2357.711,2346.579,20011102400,171130880000
2014-09-26,2339.288,2350.109,2347.718,2329.955,17474828800,148220805120
2014-09-25,2352.865,2365.154,2345.103,2336.805,22568832000,189260382208
2014-09-24,2302.231,2345.747,2343.575,2297.876,22252572800,185690669056
2014-09-23,2289.091,2311.525,2309.718,2289.024,15685516800,135396859904
2014-09-22,2323.554,2323.554,2289.866,2284.378,17584235200,147841744896
2014-09-19,2312.984,2331.561,2329.451,2305.517,17464848000,144345448448
2014-09-18,2303.85,2319.875,2315.928,2297.931,18908904000,144518529024
2014-09-17,2298.982,2309.048,2307.893,2282.795,21084244800,159121784832
2014-09-16,2341.027,2347.935,2296.555,2293.869,30269411200,237659242496
2014-09-15,2330.187,2340.449,2339.14,2321.593,21511241600,185393627136
2014-09-12,2308.346,2331.95,2331.95,2302.775,19347153600,162102902784
2014-09-11,2315.732,2343.595,2311.679,2304.602,22222179200,197232656384
2014-09-10,2318.496,2321.908,2318.305,2306.421,18982899200,163454517248
2014-09-09,2328.426,2331.917,2326.527,2315.894,19699032000,172908494848
2014-09-05,2311.305,2327.557,2326.432,2307.447,21318192000,185839828992
2014-09-04,2290.029,2307.701,2306.862,2283.277,19948998400,179385892864
